"Links","Time","Nome","PPG","RPG","APG","Altura","Peso","País","Idade","Data_de_nascimento","DRAFT","Experiência"
"https://www.nba.com/player/1641879/yuri-collins/",,"Yuri
Collins","1.0","1.5","2.0","6'0"" (1.83m)","190lb (86kg)","USA","24 years","March 7, 2001","Undrafted","Rookie"
"https://www.nba.com/player/1628380/zach-collins/","Chicago Bulls | #12 | Forward-Center","Zach
Collins","6.4","4.2","1.7","6'11"" (2.11m)","250lb (113kg)","USA","27 years","November 19, 1997","2017 R1 Pick 10","6 Years"
"https://www.nba.com/player/201144/mike-conley/","Minnesota Timberwolves | #10 | Guard","Mike
Conley","8.3","2.5","4.5","6'0"" (1.83m)","175lb (79kg)","USA","37 years","October 11, 1987","2007 R1 Pick 4","17 Years"
"https://www.nba.com/player/1626192/pat-connaughton/","Milwaukee Bucks | #24 | Guard","Pat
Connaughton","4.0","2.5","1.6","6'5"" (1.96m)","209lb (95kg)","USA","32 years","January 6, 1993","2015 R2 Pick 41","9 Years"
"https://www.nba.com/player/1641731/bilal-coulibaly/","Washington Wizards | #0 | Guard","Bilal
Coulibaly","12.3","5.0","3.4","6'8"" (2.03m)","195lb (88kg)","France","20 years","July 26, 2004","2023 R1 Pick 7","1 Year"
"https://www.nba.com/player/1641741/ricky-council-iv/","Philadelphia 76ers | #14 | Guard","Ricky
Council IV","6.8","2.5","1.2","6'6"" (1.98m)","207lb (94kg)","USA","23 years","August 3, 2001","Undrafted","1 Year"
"https://www.nba.com/player/1628470/torrey-craig/","Boston Celtics | #12 | Forward","Torrey
Craig","4.9","2.2","0.4","6'5"" (1.96m)","221lb (100kg)","USA","34 years","December 19, 1990","Undrafted","7 Years"
"https://www.nba.com/player/1642384/isaiah-crawford/","Sacramento Kings | #24 | Forward","Isaiah
Crawford","1.2","0.7","--","6'6"" (1.98m)","220lb (100kg)","USA","23 years","November 1, 2001","Undrafted","Rookie"
"https://www.nba.com/player/203109/jae-crowder/","Sacramento Kings | #99 | Forward","Jae
Crowder","2.9","2.4","0.6","6'6"" (1.98m)","235lb (107kg)","USA","34 years","July 6, 1990","2012 R2 Pick 34","12 Years"
"https://www.nba.com/player/1630595/cade-cunningham/","Detroit Pistons | #2 | Guard","Cade
Cunningham","25.7","6.1","9.2","6'6"" (1.98m)","220lb (100kg)","USA","23 years","September 25, 2001","2021 R1 Pick 1","3 Years"
"https://www.nba.com/player/203552/seth-curry/","Charlotte Hornets | #30 | Guard","Seth
Curry","6.1","1.6","0.8","6'1"" (1.85m)","185lb (84kg)","USA","34 years","August 23, 1990","Undrafted","10 Years"
"https://www.nba.com/player/201939/stephen-curry/","Golden State Warriors | #30 | Guard","Stephen
Curry","24.2","4.4","6.0","6'2"" (1.88m)","185lb (84kg)","USA","37 years","March 14, 1988","2009 R1 Pick 7","15 Years"
"https://www.nba.com/player/1641783/tristan-da-silva/","Orlando Magic | #23 | Forward","Tristan
da Silva","7.4","3.4","1.5","6'8"" (2.03m)","217lb (98kg)","Germany","23 years","May 15, 2001","2024 R1 Pick 18","Rookie"
"https://www.nba.com/player/1642359/pacome-dadiet/","New York Knicks | #4 | Forward","Pacome
Dadiet","1.7","0.9","0.3","6'8"" (2.03m)","210lb (95kg)","France","19 years","July 27, 2005","2024 R1 Pick 25","Rookie"
"https://www.nba.com/player/1630700/dyson-daniels/","Atlanta Hawks | #5 | Guard","Dyson
Daniels","14.0","5.7","4.3","6'7"" (2.01m)","199lb (90kg)","Australia","22 years","March 17, 2003","2022 R1 Pick 8","2 Years"
"https://www.nba.com/player/1642368/nfaly-dante/","Houston Rockets | #3 | Center","N'Faly
Dante","10.0","9.0","1.0","6'11"" (2.11m)","230lb (104kg)","Mali","23 years","October 19, 2001","Undrafted","Rookie"
"https://www.nba.com/player/203076/anthony-davis/","Dallas Mavericks | #3 | Forward-Center","Anthony
Davis","25.7","12.0","3.4","6'10"" (2.08m)","253lb (115kg)","USA","32 years","March 11, 1993","2012 R1 Pick 1","12 Years"
